expression,reading,romaji,meaningKo,partOfSpeech,level
コンピュータ,コンピュータ,konpyuta,뜻 자동 생성 필요,미분류,N4
レポート,れぽーと,repoto,뜻 자동 생성 필요,미분류,N4
いらっしゃる,vocabulary,vocabulary,뜻 자동 생성 필요,미분류,N4
お宅,おたく,otaku,뜻 자동 생성 필요,미분류,N4
お土産,おみやげ,omiyage,뜻 자동 생성 필요,미분류,N4
この間,このあいだ,konoaida,뜻 자동 생성 필요,미분류,N4
この頃,このごろ,konogoro,뜻 자동 생성 필요,미분류,N4
すると,vocabulary,vocabulary,뜻 자동 생성 필요,미분류,N4
そう,vocabulary,vocabulary,뜻 자동 생성 필요,미분류,N4
どんどん,vocabulary,vocabulary,뜻 자동 생성 필요,미분류,N4
若し,もし,moshi,뜻 자동 생성 필요,미분류,N4
為さる,なさる,nasaru,뜻 자동 생성 필요,미분류,N4
育てる,そだてる,sodateru,뜻 자동 생성 필요,미분류,N4
遠く,とおく,tooku,뜻 자동 생성 필요,미분류,N4
苛める,いじめる,ijimeru,뜻 자동 생성 필요,미분류,N4
開く,ひらく,hiraku,뜻 자동 생성 필요,미분류,N4
割れる,われる,wareru,뜻 자동 생성 필요,미분류,N4
噛む,かむ,kamu,뜻 자동 생성 필요,미분류,N4
乾く,かわく,kawaku,뜻 자동 생성 필요,미분류,N4
泣く,なく,naku,뜻 자동 생성 필요,미분류,N4
驚く,おどろく,odoroku,뜻 자동 생성 필요,미분류,N4
仰る,おっしゃる,ossharu,뜻 자동 생성 필요,미분류,N4
君,くん,kun,뜻 자동 생성 필요,미분류,N4
建てる,たてる,tateru,뜻 자동 생성 필요,미분류,N4
ご主人,ごしゅじん,goshujin,뜻 자동 생성 필요,미분류,N4
お釣り,おつり,otsuri,뜻 자동 생성 필요,미분류,N4
お礼,おれい,orei,뜻 자동 생성 필요,미분류,N4
再来月,さらいげつ,saraigetsu,뜻 자동 생성 필요,미분류,N4
再来週,さらいしゅう,saraishuu,뜻 자동 생성 필요,미분류,N4
暫く,しばらく,shibaraku,뜻 자동 생성 필요,미분류,N4
止む,やむ,yamu,뜻 자동 생성 필요,미분류,N4
取り替える,とりかえる,torikaeru,뜻 자동 생성 필요,미분류,N4
床屋,とこや,tokoya,뜻 자동 생성 필요,미분류,N4
焼く,やく,yaku,뜻 자동 생성 필요,미분류,N4
焼ける,やける,yakeru,뜻 자동 생성 필요,미분류,N4
寝坊,ねぼう,nebou,뜻 자동 생성 필요,미분류,N4
心,こころ,kokoro,뜻 자동 생성 필요,미분류,N4
凄い,すごい,sugoi,뜻 자동 생성 필요,미분류,N4
成るべく,なるべく,narubeku,뜻 자동 생성 필요,미분류,N4
石,いし,ishi,뜻 자동 생성 필요,미분류,N4
折れる,おれる,oreru,뜻 자동 생성 필요,미분류,N4
続く,つづく,tsuzuku,뜻 자동 생성 필요,미분류,N4
続ける,つづける,tsuzukeru,뜻 자동 생성 필요,미분류,N4
大学生,だいがくせい,daigakusei,뜻 자동 생성 필요,미분류,N4
知らせる,しらせる,shiraseru,뜻 자동 생성 필요,미분류,N4
天気予報,てんきよほう,tenkiyohou,뜻 자동 생성 필요,미분류,N4
伝える,つたえる,tsutaeru,뜻 자동 생성 필요,미분류,N4
動く,うごく,ugoku,뜻 자동 생성 필요,미분류,N4
届ける,とどける,todokeru,뜻 자동 생성 필요,미분류,N4
彼,かれ,kare,뜻 자동 생성 필요,미분류,N4
非常に,ひじょうに,hijouni,뜻 자동 생성 필요,미분류,N4
米,こめ,kome,뜻 자동 생성 필요,미분류,N4
別,べつ,betsu,뜻 자동 생성 필요,미분류,N4
亡くなる,なくなる,nakunaru,뜻 자동 생성 필요,미분류,N4
殆ど,ほとんど,hotondo,뜻 자동 생성 필요,미분류,N4
無くなる,なくなる,nakunaru,뜻 자동 생성 필요,미분류,N4
踊る,おどる,odoru,뜻 자동 생성 필요,미분류,N4
揺れる,ゆれる,yureru,뜻 자동 생성 필요,미분류,N4
用,よう,you,뜻 자동 생성 필요,미분류,N4
立てる,たてる,tateru,뜻 자동 생성 필요,미분류,N4
力,ちから,chikara,뜻 자동 생성 필요,미분류,N4
受付,うけつけ,uketsuke,뜻 자동 생성 필요,미분류,N4
押入れ,おしいれ,oshiire,뜻 자동 생성 필요,미분류,N4
ご馳走,ごちそう,gochisou,뜻 자동 생성 필요,미분류,N4
髭,ひげ,hige,뜻 자동 생성 필요,미분류,N4
酷い,ひどい,hidoi,뜻 자동 생성 필요,미분류,N4
痩せる,やせる,yaseru,뜻 자동 생성 필요,미분류,N4
沸く,わく,waku,뜻 자동 생성 필요,미분류,N4
お祝い,おいわい,oiwai,뜻 자동 생성 필요,미분류,N4
直る,なおる,naoru,뜻 자동 생성 필요,미분류,N4
それ程,それほど,sorehodo,뜻 자동 생성 필요,미분류,N4
付く,つく,tsuku,뜻 자동 생성 필요,미분류,N4
看護師,かんごし,kangoshi,뜻 자동 생성 필요,미분류,N4
そんなに,vocabulary,vocabulary,뜻 자동 생성 필요,미분류,N4
ご覧になる,ごらんになる,goranninaru,뜻 자동 생성 필요,미분류,N4
お金持ち,おかねもち,okanemochi,뜻 자동 생성 필요,미분류,N4
スクリーン,すくりーん,sukurin,뜻 자동 생성 필요,미분류,N4
お出でになる,おいでになる,oideninaru,뜻 자동 생성 필요,미분류,N4
お陰,おかげ,okage,뜻 자동 생성 필요,미분류,N4
お見舞い,おみまい,omimai,뜻 자동 생성 필요,미분류,N4
屹度,きっと,kitto,뜻 자동 생성 필요,미분류,N4
斯う,こう,kou,뜻 자동 생성 필요,미분류,N4
此れから,これから,korekara,뜻 자동 생성 필요,미분류,N4
先,さっき,sakki,뜻 자동 생성 필요,미분류,N4
其れで,それで,sorede,뜻 자동 생성 필요,미분류,N4
其れに,それに,soreni,뜻 자동 생성 필요,미분류,N4
些とも,ちっとも,chittomo,뜻 자동 생성 필요,미분류,N4
亜細亜,アジア,ajia,뜻 자동 생성 필요,미분류,N4
瓦斯,ガス,gasu,뜻 자동 생성 필요,미분류,N4
硝子,ガラス,garasu,뜻 자동 생성 필요,미분류,N4
ＦＡＸ,ファックス,fuakkusu,뜻 자동 생성 필요,미분류,N4
亜米利加,アメリカ,amerika,뜻 자동 생성 필요,미분류,N4
可笑しい,おかしい,okashii,뜻 자동 생성 필요,미분류,N4
成る程,なるほど,naruhodo,뜻 자동 생성 필요,미분류,N4
到頭,とうとう,toutou,뜻 자동 생성 필요,미분류,N4
掏摸,すり,suri,뜻 자동 생성 필요,미분류,N4
確り,しっかり,shikkari,뜻 자동 생성 필요,미분류,N4
お祭り,おまつり,omatsuri,뜻 자동 생성 필요,미분류,N4
偶に,たまに,tamani,뜻 자동 생성 필요,미분류,N4
堅,けん,ken,뜻 자동 생성 필요,미분류,N4
阿弗利加,アフリカ,afurika,뜻 자동 생성 필요,미분류,N4
泳ぎ方,およぎかた,oyogikata,뜻 자동 생성 필요,미분류,N4
もう直ぐ,もうすぐ,mousugu,뜻 자동 생성 필요,미분류,N4
真中,まなか,manaka,뜻 자동 생성 필요,미분류,N4
